USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
Construct a tower using multiple agents to distribute the weight.,Use the following behaviors to generate XML Behavior tree based on the user command: set_building_area: Action node - Sets the designated area for the tower to be built. get_agent_strength: Action node - Retrieves the agent's strength from the blackboard. calculate_building_height: Function node - Calculates the height of each layer of the tower based on the agents' combined strength. stack_blocks: Action node - Makes the agents stack blocks on top of each other until the desired height is reached.,Construct a tower using multiple agents to distribute the weight.,"
<BehaviorTree>
<Sequence>
<Action>set_building_area</Action>
<Action>get_agent_strength</Action>
<Function>calculate_building_height</Function>
<Action>stack_blocks</Action>
</Sequence>
</BehaviorTree>"
Navigate through a maze to find the designated exit point.,Use the following behaviors to generate XML Behavior tree based on the user command: explore: Action node - Moves the agent towards unexplored areas. set_target_exit: Action node - Sets the designated exit point for the agent. get_current_location: Function node - Retrieves the agent's current location. calculate_distance_to_exit: Function node - Calculates the distance between the agent's current location and the designated exit point. set_next_move: Action node - Sets the desired direction for the agent to move towards.,Navigate through a maze to find the designated exit point.,"
<BehaviorTree>
<Sequence>
<Action>explore</Action>
<Action>set_target_exit</Action>
<Function>get_current_location</Function>
<Function>calculate_distance_to_exit</Function>
<Action>set_next_move</Action>
</Sequence>
</BehaviorTree>"
Cooperatively carry a heavy object together to a specified location.,Use the following behaviors to generate XML Behavior tree based on the user command: get_agent_strength: Action node - Retrieves the agent's strength from the blackboard. calculate_carrying_capacity: Function node - Calculates the combined carrying capacity of all agents involved. check_weight: Condition node - Checks if the object's weight is within the calculated carrying capacity. carry_object: Action node - Makes the agents carry the object together. go_to_location: Action node (same as before).,Cooperatively carry a heavy object together to a specified location.,"
<BehaviorTree>
<Sequence>
<Action>get_agent_strength</Action>
<Function>calculate_carrying_capacity</Function>
<Condition>check_weight</Condition>
<Action>carry_object</Action>
<Action>go_to_location</Action>
</Sequence>
</BehaviorTree>"
Communicate and synchronize tasks between multiple robots.,Use the following behaviors to generate XML Behavior tree based on the user command: send_task: Action node - Makes the agent send a designated task to another robot. receive_task: Action node - Makes the agent receive a task from another robot. execute_task: Action node (same as before). task_complete: Condition node - Checks if the received task has been completed. task_failed: Condition node - Checks if the received task has failed.,Communicate and synchronize tasks between multiple robots.,"
<BehaviorTree>
<Sequence>
<Selector>
<Action>send_task</Action>
<Action>receive_task</Action>
</Selector>
<Condition>task_complete</Condition>
<Condition>task_failed</Condition>
<Action>execute_task</Action>
</Sequence>
</BehaviorTree>"
Search and rescue a trapped individual in a simulated disaster area.,Use the following behaviors to generate XML Behavior tree based on the user command: move_to_location: Action node - Moves the agent towards the designated search area. scan_environment: Action node - Makes the agent scan its surroundings for the trapped individual. identify_trapped_person: Condition node - Checks if the agent has identified the trapped individual. rescue_person: Action node - Makes the agent rescue the trapped individual.,Search and rescue a trapped individual in a simulated disaster area.,"
<BehaviorTree>
<Sequence>
<Action>move_to_location</Action>
<Action>scan_environment</Action>
<Condition>identify_trapped_person</Condition>
<Action>rescue_person</Action>
</Sequence>
</BehaviorTree>"
Navigate through a difficult terrain while carrying a fragile object without dropping it.,Use the following behaviors to generate XML Behavior tree based on the user command: get_current_location: Function node - Retrieves the agent's current location. calculate_distance_to_destination: Function node - Calculates the remaining distance to the target destination. check_terrain: Condition node - Checks for difficult terrain in front of the agent. avoid_terrain: Action node - Makes the agent avoid the difficult terrain. hold_object: Action node - Makes the agent hold onto the fragile object.,Navigate through a difficult terrain while carrying a fragile object without dropping it.,"
<BehaviorTree>
<Sequence>
<Function>get_current_location</Function>
<Function>calculate_distance_to_destination</Function>
<Condition>check_terrain</Condition>
<Action>avoid_terrain</Action>
<Action>hold_object</Action>
</Sequence>
</BehaviorTree>"
Harvest resources from a designated area and bring them back to the base.,Use the following behaviors to generate XML Behavior tree based on the user command: move_to_location: Action node - Moves the agent towards the designated harvesting area. harvest_resources: Action node - Makes the agent harvest resources within its vicinity. return_to_base: Action node - Makes the agent return to the base. drop_off_resources: Action node - Makes the agent drop off the harvested resources at the base.,Harvest resources from a designated area and bring them back to the base.,"
<BehaviorTree>
<Sequence>
<Action>move_to_location</Action>
<Action>harvest_resources</Action>
<Action>return_to_base</Action>
<Action>drop_off_resources</Action>
</Sequence>
</BehaviorTree>"
Move in a specific formation while avoiding collisions with other robots.,Use the following behaviors to generate XML Behavior tree based on the user command: set_formation: Action node - Sets the desired formation for the agents to move in. get_self_location: Function node - Retrieves the agent's current location. calculate_spacing: Function node - Calculates the required spacing between agents to avoid collisions. move_in_formation: Action node - Makes the agents move in the designated formation.,Move in a specific formation while avoiding collisions with other robots.,"
<BehaviorTree>
<Sequence>
<Action>set_formation</Action>
<Function>get_self_location</Function>
<Function>calculate_spacing</Function>
<Action>move_in_formation</Action>
</Sequence>
</BehaviorTree>"
Spread out and explore a large unknown area.,Use the following behaviors to generate XML Behavior tree based on the user command: start_spreading: Action node - Initiates the spreading out behavior. move_forward: Action node (same as before). get_current_location: Function node - Retrieves the agent's current location. calculate_distance_travelled: Function node - Calculates the distance travelled by the agent since starting to spread out. set_new_target: Action node - Sets a new target location for the agent to move towards.,Spread out and explore a large unknown area.,"
<BehaviorTree>
<Sequence>
<Action>start_spreading</Action>
<Action>move_forward</Action>
<Function>get_current_location</Function>
<Function>calculate_distance_travelled</Function>
<Action>set_new_target</Action>
</Sequence>
</BehaviorTree>"
Deliver the package to the specified location.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_to: Action node- Guides the agent to the specified location. is_at_destination: Condition node - Checks if the agent has reached the destination. deliver_package: Action node - Performs the task of delivering the package.,Deliver the package to the specified location.,"
<BehaviorTree>
<Sequence>
<Action>navigate_to</Action>
<Selector>
<Condition>is_at_destination</Condition>
<Action>deliver_package</Action>
</Selector>
</Sequence>
</BehaviorTree>"
Collect all the scattered objects in the room.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_room: Action node - Scans the room for scattered objects. pick_up: Action node - Picks up the objects found. is_room_empty: Condition node - Checks if the room is empty of objects.,Collect all the scattered objects in the room.,"
<BehaviorTree>
<Sequence>
<Action>scan_room</Action>
<Selector>
<Condition>is_room_empty</Condition>
<Action>pick_up</Action>
</Selector>
</Sequence>
</BehaviorTree>"
Retrieve the designated item from the storage unit.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_to_storage: Action node - Guides the agent to the storage unit. search_storage: Action node - Searches for the designated item. retrieve_item: Action node - Retrieves the item. is_item_retrieved: Condition node - Checks if the item has been retrieved.,Retrieve the designated item from the storage unit.,"
<BehaviorTree>
<Sequence>
<Action>navigate_to_storage</Action>
<Sequence>
<Action>search_storage</Action>
<Action>retrieve_item</Action>
</Sequence>
<Condition>is_item_retrieved</Condition>
</Sequence>
</BehaviorTree>"
Maintain a constant distance from the object in front of the robot.,Use the following behaviors to generate XML Behavior tree based on the user command: measure_distance: Action node - Measures the distance from the object in front. adjust_distance: Action node - Adjusts the robot's speed accordingly. is_distance_optimal: Condition node - Checks if the distance is the desired distance.,Maintain a constant distance from the object in front of the robot.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>measure_distance</Action>
<Action>adjust_distance</Action>
</Sequence>
<Condition>is_distance_optimal</Condition>
</Selector>
</BehaviorTree>"
Clear the path for other robots to pass through.,Use the following behaviors to generate XML Behavior tree based on the user command: detect_obstacle: Action node - Detects if there is an obstacle in the path. remove_obstacle: Action node - Removes the obstacle. is_path_clear: Condition node - Checks if the path is clear.,Clear the path for other robots to pass through.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>detect_obstacle</Action>
<Action>remove_obstacle</Action>
</Sequence>
<Condition>is_path_clear</Condition>
</Selector>
</BehaviorTree>"
Work together with other robots to complete a task.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Allows the agent to communicate with other robots. assign_task: Action node - Assigns specific tasks to each robot. is_task_completed: Condition node - Checks if the task has been completed by all robots.,Work together with other robots to complete a task.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Selector>
<Action>assign_task</Action>
<Condition>is_task_completed</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Investigate and report any potential hazards in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_environment: Action node - Scans the environment for potential hazards. report_hazard: Action node - Reports any hazards found. is_hazard_present: Condition node - Checks if there are any hazards present.,Investigate and report any potential hazards in the environment.,"
<BehaviorTree>
<Sequence>
<Action>scan_environment</Action>
<Selector>
<Action>report_hazard</Action>
<Condition>is_hazard_present</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Explore the surrounding area and create a map of the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: move_forward: Action node - Moves the agent forward. turn_left: Action node - Turns the agent left by 90 degrees. turn_right: Action node - Turns the agent right by 90 degrees. create_map: Action node - Creates a map of the environment. is_map_complete: Condition node - Checks if the map is complete.,Explore the surrounding area and create a map of the environment.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>move_forward</Action>
<Action>turn_left</Action>
<Action>create_map</Action>
</Sequence>
<Selector>
<Action>turn_right</Action>
<Action>create_map</Action>
</Selector>
</Sequence>
<Condition>is_map_complete</Condition>
</BehaviorTree>"
Make coordinated movements to form a specific shape as a group.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Allows the agent to communicate with other robots. form_shape: Action node - Guides the agent to move to form a specific shape. is_shape_formed: Condition node - Checks if the shape has been formed.,Make coordinated movements to form a specific shape as a group.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Selector>
<Action>form_shape</Action>
<Condition>is_shape_formed</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Repair any malfunctions in the robot.,Use the following behaviors to generate XML Behavior tree based on the user command: detect_malfunction: Action node - Detects any malfunctions in the robot. fix_malfunction: Action node - Fixes the malfunction. is_robot_functional: Condition node - Checks if the robot is functional.,Repair any malfunctions in the robot.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>detect_malfunction</Action>
<Action>fix_malfunction</Action>
</Sequence>
<Condition>is_robot_functional</Condition>
</Selector>
</BehaviorTree>"
Identify and retrieve the specified object from a cluttered environment.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_environment: Action node - Scans the environment for the specified object. navigate_to_object: Action node - Guides the agent to the location of the object. retrieve_object: Action node - Picks up the object. is_object_retrieved: Condition node - Checks if the object has been retrieved.,Identify and retrieve the specified object from a cluttered environment.,"
<BehaviorTree>
<Sequence>
<Action>scan_environment</Action>
<Sequence>
<Action>navigate_to_object</Action>
<Action>retrieve_object</Action>
</Sequence>
<Condition>is_object_retrieved</Condition>
</Sequence>
</BehaviorTree>"
Build a structure using materials provided in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_material: Action node - Collects the materials needed for the structure. navigate_to_location: Action node - Guides the agent to the desired location for the structure. build_structure: Action node - Constructs the structure using the collected materials. is_structure_complete: Condition node - Checks if the structure is complete.,Build a structure using materials provided in the environment.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>collect_material</Action>
<Action>build_structure</Action>
</Sequence>
<Selector>
<Action>navigate_to_location</Action>
<Condition>is_structure_complete</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Protect a specified area from intruders.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_area: Action node - Scans the specified area for any intruders. sound_alarm: Action node - Activates an alarm if an intruder is detected. is_area_secure: Condition node - Checks if the area is free of intruders.,Protect a specified area from intruders.,"
<BehaviorTree>
<Sequence>
<Action>scan_area</Action>
<Selector>
<Action>sound_alarm</Action>
<Condition>is_area_secure</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Follow a moving target and keep a safe distance.,Use the following behaviors to generate XML Behavior tree based on the user command: track_target: Action node - Tracks the movements of the target. maintain_distance: Action node - Adjusts the robot's speed to keep a safe distance from the target. is_target_safe: Condition node - Checks if the target is safe to follow.,Follow a moving target and keep a safe distance.,"
<BehaviorTree>
<Sequence>
<Action>track_target</Action>
<Selector>
<Action>maintain_distance</Action>
<Condition>is_target_safe</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Collect data from different points and return to base.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_data: Action node - Collects data from each designated point. return_to_base: Action node - Guides the agent to the base to store the collected data. store_data: Action node - Stores the collected data at the base. is_data_stored: Condition node - Checks if the data has been stored.,Collect data from different points and return to base.,"
<BehaviorTree>
<Sequence>
<Action>collect_data</Action>
<Sequence>
<Action>return_to_base</Action>
<Action>store_data</Action>
</Sequence>
<Condition>is_data_stored</Condition>
</Sequence>
</BehaviorTree>"
Coordinate with other robots to extinguish a fire.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Allows the agent to communicate with other robots. detect_fire: Action node - Detects the fire in the environment. extinguish_fire: Action node - Activates a fire extinguisher to put out the fire. is_fire_extinguished: Condition node - Checks if the fire has been extinguished.,Coordinate with other robots to extinguish a fire.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Selector>
<Sequence>
<Action>detect_fire</Action>
<Action>extinguish_fire</Action>
</Sequence>
<Condition>is_fire_extinguished</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Work together to lift and move an object to a designated location.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Allows the agent to communicate with other robots. lift_object: Action node - Lifts the object with the help of other robots. move_object: Action node - Moves the object to the designated location. is_object_moved: Condition node - Checks if the object has been moved.,Work together to lift and move an object to a designated location.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Selector>
<Sequence>
<Action>lift_object</Action>
<Action>move_object</Action>
</Sequence>
<Condition>is_object_moved</Condition>
</Selector>
</Sequence>
</BehaviorTree>"
Search for and rescue a trapped individual.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_environment: Action node - Scans the environment for the trapped individual. navigate_to_location: Action node - Guides the agent to the location of the trapped individual. free_individual: Action node - Frees the trapped individual. is_individual_rescued: Condition node - Checks if the individual has been rescued.,Search for and rescue a trapped individual.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>scan_environment</Action>
<Selector>
<Action>navigate_to_location</Action>
<Condition>is_individual_rescued</Condition>
</Selector>
</Sequence>
<Action>free_individual</Action>
</Selector>
</BehaviorTree>"
Move towards the nearest robot in the swarm and form a triangle formation.,"Use the following behaviors to generate XML Behavior tree based on the user command: find_nearest_robot: Action node - Finds the nearest robot in the swarm. move_to_target: Action node - Moves towards a target, in this case the nearest robot. form_triangle_formation: Action node - Coordinates with other robots to form a triangle formation.",Move towards the nearest robot in the swarm and form a triangle formation.,"
<BehaviorTree>
<Sequence>
<Action>find_nearest_robot</Action>
<Action>move_to_target</Action>
<Action>form_triangle_formation</Action>
</Sequence>
</BehaviorTree>"
Continuously monitor battery levels and charge if levels fall below a certain threshold.,Use the following behaviors to generate XML Behavior tree based on the user command: monitor_battery: Action node - Monitors the current battery level. is_battery_low: Condition node - Checks if the battery level falls below a predefined threshold. charge_battery: Action node - Activates the charging process.,Continuously monitor battery levels and charge if levels fall below a certain threshold.,"
<BehaviorTree>
<Sequence>
<Action>monitor_battery</Action>
<Condition>is_battery_low</Condition>
<Action>charge_battery</Action>
</Sequence>
</BehaviorTree>"
Prioritize collecting resources over defending against enemies.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_resource: Action node - Collects a nearby resource. defend_against_enemy: Action node - Defends against a nearby enemy. get_resource_priority: Function node - Calculates the priority for collecting resources. get_enemy_threat: Function node (same as before). utility_score: Function node (same as before).,Prioritize collecting resources over defending against enemies.,"
<BehaviorTree>
<Sequence>
<Action>get_resource_priority</Action>
<Condition>greater_than enemy_threat</Condition>
<Action>collect_resource</Action>
</Sequence>
<Action>defend_against_enemy</Action>
</BehaviorTree>"
Locate and retrieve a specific item from a designated location in the environment.,Use the following behaviors to generate XML Behavior tree based on the user command: locate_item: Action node - Scans the environment to locate the designated item. move_to_location: Action node - Moves towards the designated location. retrieve_item: Action node - Retrieves the item once it has been located.,Locate and retrieve a specific item from a designated location in the environment.,"
<BehaviorTree>
<Sequence>
<Action>locate_item</Action>
<Action>move_to_location</Action>
<Action>retrieve_item</Action>
</Sequence>
</BehaviorTree>"
Check the current time and perform an action depending on whether it is morning or evening.,Use the following behaviors to generate XML Behavior tree based on the user command: check_time: Action node - Retrieves the current time from the environment. is_morning: Condition node - Checks if it is currently morning. is_evening: Condition node - Checks if it is currently evening. perform_morning_action: Action node - Performs an action suitable for the morning. perform_evening_action: Action node - Performs an action suitable for the evening.,Check the current time and perform an action depending on whether it is morning or evening.,"
<BehaviorTree>
<Sequence>
<Action>check_time</Action>
<Condition>is_morning</Condition>
<Action>perform_morning_action</Action>
</Sequence>
<Sequence>
<Condition>is_evening</Condition>
<Action>perform_evening_action</Action>
</Sequence>
</BehaviorTree>"
Follow the movement of the leader robot in the swarm and maintain a certain distance from it.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Action node - Follows the movement of the leader robot. maintain_distance: Action node - Adjusts the robot's position to maintain a certain distance from the leader.,Follow the movement of the leader robot in the swarm and maintain a certain distance from it.,"
<BehaviorTree>
<Sequence>
<Action>follow_leader</Action>
<Action>maintain_distance</Action>
</Sequence>
</BehaviorTree>"
Detect and avoid obstacles while navigating towards a specific location.,Use the following behaviors to generate XML Behavior tree based on the user command: detect_obstacles: Action node - Scans the environment for obstacles. avoid_obstacles: Action node - Performs maneuvers to avoid obstacles. move_to_location: Action node - Moves towards the designated location.,Detect and avoid obstacles while navigating towards a specific location.,"
<BehaviorTree>
<Sequence>
<Action>detect_obstacles</Action>
<Action>avoid_obstacles</Action>
<Action>move_to_location</Action>
</Sequence>
</BehaviorTree>"
Coordinate with other robots in the swarm to perform a complex task together.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate_with_swarm: Action node - Establishes communication with other robots in the swarm. perform_task: Action node - Performs a specific task as part of the collective effort. share_progress: Action node - Shares progress and important information with the other robots.,Coordinate with other robots in the swarm to perform a complex task together.,"
<BehaviorTree>
<Sequence>
<Action>communicate_with_swarm</Action>
<Action>perform_task</Action>
<Action>share_progress</Action>
</Sequence>
</BehaviorTree>"
Prioritize exploring unknown areas of the environment over repeated visits to already explored areas.,Use the following behaviors to generate XML Behavior tree based on the user command: explore_unknown_areas: Action node - Explores unknown areas of the environment. check_visited_status: Condition node - Checks if the current location has been visited before. revisit_area: Action node - Revisits an already explored area.,Prioritize exploring unknown areas of the environment over repeated visits to already explored areas.,"
<BehaviorTree>
<Sequence>
<Action>explore_unknown_areas</Action>
<Condition>not_visited</Condition>
<Action>revisit_area</Action>
</Sequence>
</BehaviorTree>"
Avoid the path of a moving object while navigating towards a specific location.,Use the following behaviors to generate XML Behavior tree based on the user command: detect_moving_object: Action node - Uses sensors to detect a moving object. avoid_object: Action node - Performs maneuvers to avoid the object. move_to_location: Action node - Moves towards the designated location.,Avoid the path of a moving object while navigating towards a specific location.,"
<BehaviorTree>
<Sequence>
<Action>detect_moving_object</Action>
<Action>avoid_object</Action>
<Action>move_to_location</Action>
</Sequence>
</BehaviorTree>"
Scan the environment for a designated color and perform a specific action if it is detected.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_color: Action node - Scans the environment for a designated color. check_color_detected: Condition node - Checks if the designated color was detected. perform_color_action: Action node - Performs a specific action if the color is detected.,Scan the environment for a designated color and perform a specific action if it is detected.,"
<BehaviorTree>
<Sequence>
<Action>scan_color</Action>
<Condition>check_color_detected</Condition>
<Action>perform_color_action</Action>
</Sequence>
</BehaviorTree>"
"Respond to external stimuli, such as a loud sound or a bright light, by changing behavior.",Use the following behaviors to generate XML Behavior tree based on the user command: detect_stimulus: Action node - Uses sensors to detect external stimuli. respond_to_sound: Action node - Reacts to a loud sound. respond_to_light: Action node - Reacts to a bright light.,"Respond to external stimuli, such as a loud sound or a bright light, by changing behavior.","
<BehaviorTree>
<Sequence>
<Action>detect_stimulus</Action>
<Condition>sound_detected</Condition>
<Action>respond_to_sound</Action>
</Sequence>
<Sequence>
<Condition>light_detected</Condition>
<Action>respond_to_light</Action>
</Sequence>
</BehaviorTree>"
Continuously monitor the state of a designated object and perform actions depending on its status.,Use the following behaviors to generate XML Behavior tree based on the user command: monitor_object: Action node - Monitors the state of the designated object. is_object_damaged: Condition node - Checks if the object is damaged. is_object_moved: Condition node - Checks if the object has been moved. repair_object: Action node - Performs actions to repair the object. relocate_object: Action node - Moves the object back to its designated location.,Continuously monitor the state of a designated object and perform actions depending on its status.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>monitor_object</Action>
<Condition>is_object_damaged</Condition>
<Action>repair_object</Action>
</Sequence>
<Sequence>
<Condition>is_object_moved</Condition>
<Action>relocate_object</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Follow a specific path in the environment while avoiding obstacles.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_path: Action node - Follows a specific path in the environment. detect_obstacles: Action node - Scans the environment for obstacles. avoid_obstacles: Action node - Performs maneuvers to avoid obstacles.,Follow a specific path in the environment while avoiding obstacles.,"
<BehaviorTree>
<Sequence>
<Action>follow_path</Action>
<Selector>
<Sequence>
<Action>detect_obstacles</Action>
<Action>avoid_obstacles</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Cooperate with other robots to transport a heavy object to a designated location.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate_with_swarm: Action node - Establishes communication with other robots. transport_object: Action node - Coordinates with other robots to transport the heavy object. move_to_location: Action node - Moves towards the designated location.,Cooperate with other robots to transport a heavy object to a designated location.,"
<BehaviorTree>
<Sequence>
<Action>communicate_with_swarm</Action>
<Action>transport_object</Action>
</Sequence>
<Action>move_to_location</Action>
</BehaviorTree>"
Enter a low-power mode to save energy when battery levels are below a certain threshold.,Use the following behaviors to generate XML Behavior tree based on the user command: monitor_battery: Action node (same as before). is_battery_low: Condition node (same as before). enter_low_power_mode: Action node - Puts the robot into a low-power mode.,Enter a low-power mode to save energy when battery levels are below a certain threshold.,"
<BehaviorTree>
<Sequence>
<Action>monitor_battery</Action>
<Condition>is_battery_low</Condition>
<Action>enter_low_power_mode</Action>
</Sequence>
</BehaviorTree>"
Continuously monitor for changes in the environment and react accordingly.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_environment: Action node - Scans the environment for changes. react_to_changes: Action node - Performs specific actions depending on the changes detected.,Continuously monitor for changes in the environment and react accordingly.,"
<BehaviorTree>
<Sequence>
<Action>scan_environment</Action>
<Action>react_to_changes</Action>
</Sequence>
</BehaviorTree>"
Explore the environment while periodically checking in with the other robots in the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: explore: Action node (same as before). check_in: Action node - Communicates with other robots in the swarm. get_swarm_position: Function node - Retrieves the current position of the swarm. return_to_swarm: Action node - Returns to the designated location of the swarm.,Explore the environment while periodically checking in with the other robots in the swarm.,"
<BehaviorTree>
<Sequence>
<Action>explore</Action>
<Selector>
<Sequence>
<Action>check_in</Action>
<Condition>not_at_swarm_position</Condition>
<Action>return_to_swarm</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
"Detect an obstacle, stop and wait for further instructions.",Use the following behaviors to generate XML Behavior tree based on the user command: detect_obstacle: Condition node - Checks if an obstacle is detected. stop: Action node - Stops the robot's movement. wait_for_instructions: Action node - Temporarily pauses the behavior tree. The subtree node for this task should loop until a new command is received.,"Detect an obstacle, stop and wait for further instructions.","
<BehaviorTree>
<Selector>
<Condition>detect_obstacle</Condition>
<Sequence>
<Action>stop</Action>
<Action>wait_for_instructions</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Patrol the area and report back every 5 minutes.,Use the following behaviors to generate XML Behavior tree based on the user command: patrol_area: Subtree node - Represents a behavior tree for patrolling an area. report_back: Action node - Sends a report back to the starting location. The subtree node for this task should loop with a set timer of 5 minutes.,Patrol the area and report back every 5 minutes.,"
<BehaviorTree>
<Sequence>
<Action>patrol_area</Action>
<Action>report_back</Action>
</Sequence>
</BehaviorTree>"
Follow a specified path while avoiding obstacles.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_path: Action node - Executes predefined coordinates to follow a specified path. avoid_obstacles: Condition node - Checks for obstacles and redirects the robot accordingly.,Follow a specified path while avoiding obstacles.,"
<BehaviorTree>
<Sequence>
<Action>follow_path</Action>
<Condition>avoid_obstacles</Condition>
</Sequence>
</BehaviorTree>"
Retrieve an item from a specific location and transport it to another designated location.,Use the following behaviors to generate XML Behavior tree based on the user command: retrieve_item: Subtree node - Represents a behavior tree for retrieving an item from a specific location. transport_item: Subtree node - Represents a behavior tree for transporting an item to a designated location.,Retrieve an item from a specific location and transport it to another designated location.,"
<BehaviorTree>
<Sequence>
<Action>retrieve_item</Action>
<Action>transport_item</Action>
</Sequence>
</BehaviorTree>"
Collect resources from various locations and return to a base.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_resource: Subtree node - Represents a behavior tree for collecting resources from various locations. return_to_base: Subtree node - Represents a behavior tree for returning to a designated base location.,Collect resources from various locations and return to a base.,"
<BehaviorTree>
<Sequence>
<Action>collect_resource</Action>
<Action>return_to_base</Action>
</Sequence>
</BehaviorTree>"
Divide into smaller groups and explore different areas.,Use the following behaviors to generate XML Behavior tree based on the user command: divide_into_groups: Subtree node - Represents a behavior tree for dividing the swarm into smaller groups. explore_area: Subtree node - Represents a behavior tree for exploring a designated area.,Divide into smaller groups and explore different areas.,"
<BehaviorTree>
<Sequence>
<Action>divide_into_groups</Action>
<Action>explore_area</Action>
</Sequence>
</BehaviorTree>"
Gather information from a specific location and share it with the rest of the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: gather_info: Subtree node - Represents a behavior tree for gathering information from a specific location. share_info: Action node - Shares the collected information with the rest of the swarm.,Gather information from a specific location and share it with the rest of the swarm.,"
<BehaviorTree>
<Sequence>
<Action>gather_info</Action>
<Action>share_info</Action>
</Sequence>
</BehaviorTree>"
Follow a designated leader and adjust movement accordingly.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Subtree node - Represents a behavior tree for following a designated leader. adjust_movement: Action node - Adjusts the movement of the robots based on the leader's movements.,Follow a designated leader and adjust movement accordingly.,"
<BehaviorTree>
<Sequence>
<Action>follow_leader</Action>
<Action>adjust_movement</Action>
</Sequence>
</BehaviorTree>"
Search and rescue a lost member of the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: search_for_lost: Subtree node - Represents a behavior tree for searching for a lost member of the swarm. rescue: Action node - Executes the rescue mission once the lost member is found.,Search and rescue a lost member of the swarm.,"
<BehaviorTree>
<Sequence>
<Action>search_for_lost</Action>
<Action>rescue</Action>
</Sequence>
</BehaviorTree>"
Communicate with a non-responsive member of the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Subtree node - Represents a behavior tree for communication with a non-responsive member of the swarm. retry: Action node - Resends the communication if no response is received.,Communicate with a non-responsive member of the swarm.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Action>retry</Action>
</Sequence>
</BehaviorTree>"
Navigate through a predefined maze.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_maze: Action node - Executes predefined actions to navigate through a maze. check_finished: Condition node - Checks if the maze has been successfully completed.,Navigate through a predefined maze.,"
<BehaviorTree>
<Sequence>
<Action>navigate_maze</Action>
<Condition>check_finished</Condition>
</Sequence>
</BehaviorTree>"
Protect a designated area from external threats.,Use the following behaviors to generate XML Behavior tree based on the user command: secure_area: Subtree node - Represents a behavior tree for securing a designated area. monitor: Action node - Monitors for external threats.,Protect a designated area from external threats.,"
<BehaviorTree>
<Selector>
<Action>secure_area</Action>
<Action>monitor</Action>
</Selector>
</BehaviorTree>"
